name,years_in_store,intial_cost,total_advertising_cost,total_cost,revenue,profit
Geometry Dash Lite,10.5,"$25,000.00 ","$10,500.00 ","$35,500.00 ","$630,000.00 ","$594,500.00 "
Hay Day,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
My Talking Angela,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
My Talking Tom,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
Score! Hero,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
Smash Hit,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
Sonic Dash,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
Traffic Racer,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
Cooking Fever,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
Trivia Crack,10,"$25,000.00 ","$10,000.00 ","$35,000.00 ","$600,000.00 ","$565,000.00 "
TOTAL,,"$250,000.00 ","$100,500.00 ","$350,500.00 ","$6,030,000.00 ","$5,679,500.00 "
